5.000000000000000278e-02,1.740897699999999986e+03
7.500000000000001110e-02,1.563543599999999969e+03
1.000000000000000056e-01,1.358939200000000028e+03
1.250000000000000000e-01,1.107115800000000036e+03
1.500000000000000222e-01,8.186893000000000029e+02
1.749999999999999889e-01,4.605484000000000151e+02
2.000000000000000111e-01,1.312701999999999884e+02
2.250000000000000333e-01,3.221179999999999666e+01
2.500000000000000000e-01,1.606030000000000157e+01
2.750000000000000222e-01,1.091869999999999941e+01
2.999999999999999889e-01,8.196199999999999264e+00
3.250000000000000111e-01,6.517599999999999838e+00
3.500000000000000333e-01,5.386999999999999567e+00
3.750000000000000000e-01,4.631300000000000416e+00
4.000000000000000222e-01,4.067199999999999704e+00
