# T,N,nu,beta
5.000000000000000000e+02,1.000000000000000000e+03,5.255510670529659478e-01,6.113945452540874292e-01
5.000000000000000000e+02,5.000000000000000000e+03,5.298049427635054265e-01,6.253737129647305437e-01
5.000000000000000000e+02,1.000000000000000000e+04,5.312052712876088600e-01,6.228668607542390268e-01
5.000000000000000000e+02,5.000000000000000000e+04,5.177976591638470127e-01,6.215962559014031052e-01
1.000000000000000000e+03,1.000000000000000000e+03,7.007959962219422190e-01,5.917497952204882061e-01
1.000000000000000000e+03,5.000000000000000000e+03,6.874508585178674691e-01,5.960414794158933605e-01
1.000000000000000000e+03,1.000000000000000000e+04,6.825068671559494371e-01,5.923198496580019956e-01
1.000000000000000000e+03,5.000000000000000000e+04,6.853005545932034925e-01,5.891067187108941505e-01
2.000000000000000000e+03,1.000000000000000000e+03,8.693536576512012060e-01,5.887381728780964885e-01
2.000000000000000000e+03,5.000000000000000000e+03,8.438233736814817476e-01,5.792156757892648056e-01
2.000000000000000000e+03,1.000000000000000000e+04,8.413038241837902387e-01,5.713327889173238638e-01
2.000000000000000000e+03,5.000000000000000000e+04,8.256044059817210234e-01,5.765293135907291200e-01
4.000000000000000000e+03,1.000000000000000000e+03,8.248272038685625640e-01,5.765555926643254336e-01
4.000000000000000000e+03,5.000000000000000000e+03,9.258297362360653482e-01,5.670286420090340229e-01
4.000000000000000000e+03,1.000000000000000000e+04,9.121562396514526494e-01,5.720215824416770012e-01
4.000000000000000000e+03,5.000000000000000000e+04,9.296532038378344520e-01,5.716096926571156978e-01
